ID_ESCOLA,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LATITUDE,LONGITUDE
117,CENTROS INTEGRADOS DE EDUCACAO PUBLICA CHANCELER WILLY BRANDT,JACARE,RUA ALVARO SEIXAS SEM NUMERO,-22.89418,-43.26385
502,CENTROS INTEGRADOS DE EDUCACAO PUBLICA PATRICE LUMUMBA,DELEGADO CASTILHO,PRACA DA CONFEDERACAO SUICA SEM NUMERO,-22.87835,-43.27489
351,CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,JACARE,AVENIDA DOM HELDER CAMARA 1715,-22.88532,-43.25410
135,ESCOLA MUNICIPAL DOMINGOS BEBIANO,INHAUMA,ESTRADA ADHEMAR BEBIANO 1870,-22.87389,-43.27771
388,ESCOLA MUNICIPAL CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA 98,-22.81527,-43.30357
440,ESCOLA MUNICIPAL JOAQUIM RIBEIRO,INHAUMA,PRACA SOLDADO COSME DOS SANTOS 28,-22.87757,-43.28563
259,ESCOLA MUNICIPAL PERNAMBUCO,MARIA DA GRACA,RUA CONDE DE AZAMBUJA 579,-22.88418,-43.26262
422,ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,AVENIDA DOS DEMOCRATICOS 268,-22.88099,-43.25325
041,ESCOLA MUNICIPAL ANDRADE NEVES,JARDIM AMERICA,RUA VIANA DO CASTELO SEM NUMERO,-22.80945,-43.32629
537,ESCOLA MUNICIPAL ARY QUINTELLA,PENHA CIRCULAR,RUA ENGENHEIRO MOREIRA LIMA 54,-22.83941,-43.30007
230,ESCOLA MUNICIPAL BERLIM,OLARIA,PRACA RAMOS FIGUEIRA 20,-22.84779,-43.26144
379,CENTROS INTEGRADOS DE EDUCACAO PUBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES SEM NUMERO,-22.89558,-43.57051
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,-22.91723,-43.21104
146,ESCOLA MUNICIPAL BERNARDO VASCONCELOS,PENHA,PRACA SANTA ROSALIA 100,-22.84563,-43.28401
566,ESCOLA MUNICIPAL BRANT HORTA,PENHA CIRCULAR,RUA BENTO CARDOSO 130,-22.83567,-43.28816
388,ESCOLA MUNICIPAL CARDEAL CAMARA,PARADA DE LUCAS,RUA ANAMA 98,-22.81527,-43.30357
498,ESCOLA MUNICIPAL CHILE,OLARIA,PRACA BELMONTE 15,-22.84858,-43.26859
663,ESCOLA MUNICIPAL CIENTISTA MARIO KROEFF,PENHA,RUA DO COUTO 91,-22.83896,-43.27517
